,symbol
1376,EPSBTC
1377,EPSBUSD
1378,EPSUSDT
1379,AUTOBTC
1380,AUTOBUSD
1381,AUTOUSDT
1382,TKOBTC
1383,TKOBIDR
1384,TKOBUSD
1385,TKOUSDT
1386,PUNDIXETH
1387,PUNDIXUSDT
1388,BTTBRL
1389,BTTEUR
1390,HOTEUR
1391,WINEUR
1392,TLMBTC
1393,TLMBUSD
1394,TLMUSDT
1395,1INCHUPUSDT
1396,1INCHDOWNUSDT
1397,BTGBUSD
1398,BTGUSDT
1399,HOTBUSD
1400,BNBUAH
1401,ONTTRY
1402,VETEUR
1403,VETGBP
1404,WINBRL
1405,MIRBTC
1406,MIRBUSD
1407,MIRUSDT
1408,BARBTC
1409,BARBUSD
1410,BARUSDT
1411,FORTHBTC
1412,FORTHBUSD
1413,FORTHUSDT
1414,CAKEGBP
1415,DOGERUB
1416,HOTBRL
1417,WRXEUR
1418,EZBTC
